Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Tavg_week,precip_week,heat_dw,cool_dw,3_week_avrgPrecipTotal,5_week_avrgPrecipTotal,3_week_avrgTavg,5_week_avrgTavg
2,2007-05-14,90,54,72.0,1.95448369565,45,58.0,0, 7,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.31,29.98,14.1,21,14.6,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.00214285714286,0.00214285714286,63.2307692308,63.2307692308
1,2007-05-15,80,57,69.0,11.0,56,61.0,0, 4,432.0,1904.0,RA BR,0.0,0.0,0.38,29.13,29.84,8.1,27,12.3,2007,5,60.0,0.0842857142857,0.0,11.6,0.035,0.035,62.4666666667,62.4666666667
2,2007-05-15,82,56,69.0,1.95448369565,56,61.0,0, 4,480.64673913,1847.34782609,TSRA RA BR,0.0,0.000108695652174,0.6,29.19,29.83,8.1,25,10.8,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.042,0.042,63.6428571429,63.6428571429
1,2007-05-16,66,44,55.0,-4.0,43,48.0,10, 0,431.0,1905.0,RA BR,0.0,0.0,0.14,29.33,30.03,7.8,36,12.2,2007,5,60.0,0.0842857142857,0.0,11.6,0.0415625,0.0415625,62.0,62.0
2,2007-05-16,64,45,55.0,1.95448369565,42,47.0,10, 0,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.07,29.39,30.03,8.0,36,11.8,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.04375,0.04375,63.0666666667,63.0666666667
1,2007-05-17,62,43,53.0,-6.0,32,43.0,12, 0,430.0,1906.0, ,0.0,0.0,0.0,29.55,30.27,10.5,3,11.3,2007,5,60.0,0.0842857142857,0.0,11.6,0.0391176470588,0.0391176470588,61.4705882353,61.4705882353
2,2007-05-17,61,44,53.0,1.95448369565,32,43.0,12, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.62,30.27,11.7,1,12.2,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.0411764705882,0.0411764705882,62.4375,62.4375
1,2007-05-18,71,42,57.0,-3.0,30,46.0,8, 0,429.0,1907.0, ,0.0,0.0,0.0,29.53,30.25,5.4,25,7.5,2007,5,60.0,0.0842857142857,0.0,11.6,0.0369444444444,0.0369444444444,61.2222222222,61.2222222222
2,2007-05-18,70,43,57.0,1.95448369565,31,47.0,8, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.6,30.26,3.4,22,5.5,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.0388888888889,0.0388888888889,62.1176470588,62.1176470588
1,2007-05-19,80,56,68.0,8.0,39,53.0,0, 3,428.0,1908.0, ,0.0,0.0,0.0,29.34,30.08,11.1,24,11.4,2007,5,60.0,0.0842857142857,0.0,11.6,0.035,0.035,61.5789473684,61.5789473684
2,2007-05-19,80,56,68.0,1.95448369565,37,53.0,0, 3,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.41,30.08,11.1,23,11.4,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.0368421052632,0.0368421052632,62.4444444444,62.4444444444
1,2007-05-20,69,43,56.0,-5.0,40,44.0,9, 0,427.0,1909.0,RA VCTS,0.0,0.0,0.07,29.38,30.11,10.4,4,10.7,2007,5,60.0,0.0842857142857,0.0,11.6,0.03675,0.03675,61.3,61.3
2,2007-05-20,69,44,57.0,1.95448369565,41,45.0,8, 0,480.64673913,1847.34782609,TSRA RA,0.0,0.000108695652174,0.11,29.44,30.11,8.6,3,9.7,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.0405,0.0405,62.1578947368,62.1578947368
1,2007-05-21,80,44,62.0,1.0,50,56.0,3, 0,426.0,1910.0, ,0.0,0.0,0.0,29.33,30.06,6.3,11,8.2,2007,5,60.0,0.0842857142857,0.0,11.6,0.035,0.035,61.3333333333,61.3333333333
2,2007-05-21,79,46,63.0,1.95448369565,50,57.0,2, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.39,30.05,6.3,10,7.8,2007,5,60.2857142857,0.111428571429,0.0,11.3142857143,0.0385714285714,0.0385714285714,62.2,62.2
1,2007-05-22,87,55,71.0,10.0,46,58.0,0, 6,425.0,1911.0, ,0.0,0.0,0.0,29.34,30.06,10.0,18,10.2,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.035,0.0334090909091,61.5238095238,61.7727272727
2,2007-05-22,87,60,74.0,1.95448369565,44,58.0,0, 9,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.41,30.05,10.1,16,10.6,2007,5,69.0,0.065,0.0,2.6,0.0385714285714,0.0368181818182,62.5,62.7619047619
1,2007-05-23,89,60,75.0,14.0,49,61.0,0,10,425.0,1912.0, ,0.0,0.0,0.0,29.39,30.10,11.4,19,11.8,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.035,0.0319565217391,62.6666666667,62.347826087
2,2007-05-23,89,66,78.0,1.95448369565,48,61.0,0,13,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.47,30.10,10.9,18,11.2,2007,5,69.0,0.065,0.0,2.6,0.0385714285714,0.0352173913043,63.8,63.4545454545
1,2007-05-24,88,63,76.0,14.0,54,63.0,0,11,424.0,1913.0,RA HZ,0.0,0.0,0.02,29.41,30.11,14.9,21,17.3,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.0359523809524,0.0314583333333,63.619047619,62.9166666667
2,2007-05-24,88,66,77.0,1.95448369565,53,63.0,0,12,480.64673913,1847.34782609,RA HZ,0.0,0.000108695652174,0.005,29.47,30.10,13.8,20,15.2,2007,5,69.0,0.065,0.0,2.6,0.0388095238095,0.0339583333333,64.75,64.0434782609
1,2007-05-25,70,56,63.0,1.0,44,53.0,2, 0,423.0,1914.0, ,0.0,0.0,0.005,29.51,30.24,4.9,5,8.8,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.0359523809524,0.0304,63.8571428571,62.92
2,2007-05-25,66,57,62.0,1.95448369565,46,53.0,3, 0,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.09,29.57,30.23,4.5,5,8.2,2007,5,69.0,0.065,0.0,2.6,0.0430952380952,0.0362,64.619047619,63.9583333333
1,2007-05-26,65,49,57.0,-5.0,55,56.0,8, 0,422.0,1915.0,TSRA RA BR HZ,0.0,0.0,1.01,29.36,30.11,2.8,17,7.2,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.0838095238095,0.0680769230769,63.7142857143,62.6923076923
2,2007-05-26,70,50,60.0,1.95448369565,55,57.0,5, 0,480.64673913,1847.34782609,TSRA RA BR,0.0,0.000108695652174,0.28,29.42,30.10,2.5,15,7.8,2007,5,69.0,0.065,0.0,2.6,0.0561904761905,0.0455769230769,64.619047619,63.8
1,2007-05-27,75,57,66.0,4.0,47,56.0,0, 1,422.0,1916.0,RA BR,0.0,0.0,0.04,29.34,30.06,8.9,26,9.5,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.0857142857143,0.067037037037,64.0476190476,62.8148148148
2,2007-05-27,75,59,67.0,1.95448369565,49,57.0,0, 2,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.08,29.41,30.05,8.2,24,9.2,2007,5,69.0,0.065,0.0,2.6,0.06,0.0468518518519,64.9523809524,63.9230769231
1,2007-05-28,79,50,65.0,2.0,47,56.0,0, 0,421.0,1916.0,RA,0.0,0.0,0.005,29.43,30.15,4.8,10,5.3,2007,5,67.5714285714,0.154285714286,0.0,4.02857142857,0.0857142857143,0.0648214285714,64.0476190476,62.8928571429
2,2007-05-28,76,54,65.0,1.95448369565,49,57.0,0, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.49,30.14,4.7,8,5.2,2007,5,69.0,0.065,0.0,2.6,0.06,0.0451785714286,64.8571428571,63.962962963
1,2007-05-29,88,60,74.0,10.0,58,65.0,0, 9,421.0,1917.0,BR HZ,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,72.1428571429,0.0914285714286,0.542857142857,0.0,0.0857142857143,0.0625862068966,64.3333333333,63.275862069
2,2007-05-29,88,65,77.0,1.95448369565,59,66.0,0,12,480.64673913,1847.34782609,BR HZ,0.0,0.000108695652174,0.0,29.44,30.09,5.8,16,7.4,2007,5,74.0,0.196428571429,2.4,0.0,0.0597619047619,0.0436206896552,65.1904761905,64.4285714286
1,2007-05-30,87,66,77.0,13.0,58,65.0,0,12,420.0,1918.0,HZ,0.0,0.0,0.0,29.31,30.04,10.3,19,10.6,2007,5,72.1428571429,0.0914285714286,0.542857142857,0.0,0.0795238095238,0.0605,64.7142857143,63.7333333333
2,2007-05-30,89,70,80.0,1.95448369565,57,66.0,0,15,480.64673913,1847.34782609,HZ,0.0,0.000108695652174,0.0,29.38,30.03,9.7,17,10.1,2007,5,74.0,0.196428571429,2.4,0.0,0.0588095238095,0.0421666666667,65.6666666667,64.9655172414
1,2007-05-31,78,65,72.0,8.0,61,65.0,0, 7,420.0,1919.0,RA HZ,0.0,0.0,0.01,29.28,30.00,9.3,19,9.9,2007,5,72.1428571429,0.0914285714286,0.542857142857,0.0,0.08,0.0588709677419,64.8095238095,64.0
2,2007-05-31,80,68,74.0,1.95448369565,61,66.0,0, 9,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.53,29.34,29.99,8.9,18,9.2,2007,5,74.0,0.196428571429,2.4,0.0,0.0840476190476,0.0579032258065,65.8095238095,65.2666666667
1,2007-06-01,85,62,74.0,10.0,63,66.0,0, 9,419.0,1920.0,TSRA BR HZ,0.0,0.0,0.19,29.19,29.91,4.2,17,6.4,2007,6,72.1428571429,0.0914285714286,0.542857142857,0.0,0.0890476190476,0.06296875,65.4285714286,64.3125
2,2007-06-01,86,67,77.0,1.95448369565,63,67.0,0,12,480.64673913,1847.34782609,TSRA BR HZ,0.0,0.000108695652174,0.21,29.25,29.90,4.7,16,5.8,2007,6,74.0,0.196428571429,2.4,0.0,0.0940476190476,0.06265625,66.5714285714,65.6451612903
1,2007-06-02,81,65,73.0,9.0,63,67.0,0, 8,419.0,1920.0,RA BR,0.0,0.0,0.04,29.03,29.77,6.5,22,7.4,2007,6,72.1428571429,0.0914285714286,0.542857142857,0.0,0.0909523809524,0.0622727272727,66.2857142857,64.5757575758
2,2007-06-02,81,68,75.0,1.95448369565,62,67.0,0,10,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.005,29.1,29.76,7.5,21,8.2,2007,6,74.0,0.196428571429,2.4,0.0,0.0942857142857,0.0609090909091,67.4761904762,65.9375
1,2007-06-03,78,62,70.0,6.0,60,63.0,0, 5,418.0,1921.0,TSRA RA BR HZ,0.0,0.0,0.01,28.82,29.56,5.2,25,6.7,2007,6,72.1428571429,0.0914285714286,0.542857142857,0.0,0.0914285714286,0.0607352941176,66.9523809524,64.7352941176
2,2007-06-03,77,64,71.0,1.95448369565,60,64.0,0, 6,480.64673913,1847.34782609,RA BR HZ VCTS,0.0,0.000108695652174,0.32,28.87,29.54,4.9,24,7.2,2007,6,74.0,0.196428571429,2.4,0.0,0.109523809524,0.0685294117647,68.1428571429,66.0909090909
1,2007-06-04,71,58,65.0,1.0,58,60.0,0, 0,418.0,1922.0,TSRA RA BR,0.0,0.0,0.39,28.82,29.52,7.8,31,9.7,2007,6,72.1428571429,0.0914285714286,0.542857142857,0.0,0.11,0.0701428571429,66.5714285714,64.7428571429
2,2007-06-04,72,56,64.0,1.95448369565,57,60.0,1, 0,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.31,28.88,29.51,7.9,30,10.1,2007,6,74.0,0.196428571429,2.4,0.0,0.124285714286,0.0754285714286,67.7619047619,66.0294117647
1,2007-06-05,64,47,56.0,-9.0,48,51.0,9, 0,417.0,1923.0,RA BR,0.0,0.0,0.42,29.1,29.79,5.2,5,7.6,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.111904761905,0.0821428571429,65.9523809524,64.4285714286
2,2007-06-05,63,51,57.0,1.95448369565,47,52.0,8, 0,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.27,29.16,29.78,6.2,3,8.1,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.108571428571,0.0831428571429,67.1904761905,65.7058823529
1,2007-06-06,71,44,58.0,-8.0,48,55.0,7, 0,417.0,1923.0,RA,0.0,0.0,0.01,29.07,29.81,10.8,17,11.4,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.105714285714,0.0824285714286,66.0952380952,64.6285714286
2,2007-06-06,73,48,61.0,1.95448369565,47,55.0,4, 0,480.64673913,1847.34782609,RA,0.0,0.000108695652174,0.005,29.13,29.82,9.6,15,10.6,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.105476190476,0.0832857142857,67.4761904762,65.9705882353
1,2007-06-07,91,71,81.0,15.0,62,69.0,0,16,417.0,1924.0, ,0.0,0.0,0.0,28.84,29.55,22.7,20,23.1,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.105714285714,0.0824285714286,67.4285714286,65.3428571429
2,2007-06-07,92,71,82.0,1.95448369565,61,68.0,0,17,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,28.91,29.55,20.3,19,20.7,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.105476190476,0.0832857142857,68.8571428571,66.6764705882
1,2007-06-08,81,57,69.0,3.0,53,61.0,0, 4,417.0,1925.0, ,0.0,0.0,0.0,29.18,29.85,10.9,28,13.8,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.105714285714,0.0822857142857,68.0,65.6571428571
2,2007-06-08,81,63,72.0,1.95448369565,54,62.0,0, 7,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.24,29.83,9.3,26,12.4,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.105476190476,0.0832857142857,69.5714285714,66.8285714286
1,2007-06-09,79,52,66.0,0.0,47,57.0,0, 1,416.0,1925.0, ,0.0,0.0,0.0,29.36,30.07,0.3,33,5.0,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.105714285714,0.0821428571429,67.9047619048,65.8285714286
2,2007-06-09,79,57,68.0,1.95448369565,49,58.0,0, 3,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.42,30.05,2.4,19,4.7,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.105476190476,0.0831428571429,69.5714285714,67.0571428571
1,2007-06-10,81,55,68.0,1.0,51,59.0,0, 3,416.0,1926.0, ,0.0,0.0,0.0,29.34,30.05,4.8,17,5.6,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.102380952381,0.0821428571429,68.4761904762,66.0857142857
2,2007-06-10,81,61,71.0,1.95448369565,50,60.0,0, 6,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.39,30.04,4.6,16,5.8,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.100238095238,0.0831428571429,70.2380952381,67.3714285714
1,2007-06-11,86,58,72.0,5.0,52,61.0,0, 7,416.0,1926.0, ,0.0,0.0,0.0,29.41,30.11,4.9,11,6.9,2007,6,67.1428571429,0.0614285714286,0.0,4.45714285714,0.102380952381,0.082,68.9523809524,66.2857142857
2,2007-06-11,85,65,75.0,1.95448369565,51,61.0,0,10,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.47,30.09,6.6,9,8.4,2007,6,69.4285714286,0.0392857142857,0.0,2.17142857143,0.100238095238,0.0831428571429,70.8095238095,67.6
1,2007-06-12,83,62,73.0,5.0,50,60.0,0, 8,416.0,1927.0, ,0.0,0.0,0.0,29.44,30.16,8.3,5,8.8,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.102380952381,0.082,69.0476190476,66.4285714286
2,2007-06-12,82,66,74.0,1.95448369565,51,61.0,0, 9,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.49,30.14,9.4,5,10.0,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.100238095238,0.083,70.8095238095,67.7142857143
1,2007-06-13,87,60,74.0,6.0,53,62.0,0, 9,416.0,1927.0, ,0.0,0.0,0.0,29.36,30.09,7.2,5,8.6,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.102380952381,0.0782857142857,69.0,66.5714285714
2,2007-06-13,86,68,77.0,1.95448369565,53,62.0,0,12,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.2844285714,,7.0,5,,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.100238095238,0.0824285714286,70.7619047619,67.9142857143
1,2007-06-14,89,64,77.0,9.0,55,64.0,0,12,416.0,1928.0, ,0.0,0.0,0.0,29.3,30.02,5.6,5,6.8,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.101428571429,0.0782857142857,69.0476190476,66.7714285714
2,2007-06-14,89,68,79.0,1.95448369565,54,63.0,0,14,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.36,30.00,5.9,7,6.4,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.1,0.0824285714286,70.8571428571,68.1428571429
1,2007-06-15,91,63,77.0,9.0,56,64.0,0,12,416.0,1928.0, ,0.0,0.0,0.0,29.28,29.99,4.1,6,4.9,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.10119047619,0.0782857142857,69.7142857143,67.2285714286
2,2007-06-15,89,67,78.0,1.95448369565,56,65.0,0,13,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.34,29.97,3.8,9,4.1,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.0957142857143,0.0824285714286,71.619047619,68.6285714286
1,2007-06-16,93,66,80.0,11.0,60,67.0,0,15,416.0,1929.0,RA HZ,0.0,0.0,0.005,29.26,29.97,4.8,28,5.8,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.0533333333333,0.0784285714286,70.8095238095,67.9428571429
2,2007-06-16,92,68,80.0,1.95448369565,61,68.0,0,15,480.64673913,1847.34782609,HZ,0.0,0.000108695652174,0.005,29.33,29.96,2.1,22,6.1,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.082619047619,0.0825714285714,72.5714285714,69.3142857143
1,2007-06-17,91,70,81.0,12.0,64,70.0,0,16,416.0,1929.0,HZ,0.0,0.0,0.0,29.23,29.95,2.8,11,6.3,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.0514285714286,0.0784285714286,71.5238095238,68.6571428571
2,2007-06-17,91,71,81.0,1.95448369565,65,70.0,0,16,480.64673913,1847.34782609,HZ,0.0,0.000108695652174,0.16,29.28,29.93,4.0,11,6.1,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.0864285714286,0.0871428571429,73.2380952381,70.0
1,2007-06-18,89,69,79.0,9.0,65,70.0,0,14,416.0,1929.0,TSRA RA HZ,0.0,0.0,0.28,29.12,29.84,14.0,20,15.1,2007,6,77.2857142857,0.0407142857143,5.68571428571,0.0,0.0645238095238,0.0864285714286,72.1904761905,68.8285714286
2,2007-06-18,89,73,81.0,1.95448369565,65,70.0,0,16,480.64673913,1847.34782609,TSRA RA HZ,0.0,0.000108695652174,0.02,29.19,29.83,12.2,20,12.6,2007,6,78.5714285714,0.0264285714286,6.97142857143,0.0,0.087380952381,0.0877142857143,74.0,70.2571428571
1,2007-06-19,80,65,73.0,3.0,55,63.0,0, 8,416.0,1930.0,RA,0.0,0.0,0.58,29.26,29.95,10.7,28,11.4,2007,6,70.8571428571,0.0921428571429,0.0,0.742857142857,0.0921428571429,0.0921428571429,72.1428571429,68.9428571429
2,2007-06-19,81,65,73.0,1.95448369565,55,63.0,0, 8,480.64673913,1847.34782609,RA BR,0.0,0.000108695652174,0.93,29.31,29.93,10.1,29,11.3,2007,6,71.5714285714,0.182857142857,0.0,0.0285714285714,0.131666666667,0.0971428571429,73.8095238095,70.3714285714
