Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Tavg_week,precip_week,heat_dw,cool_dw,3_week_avrgPrecipTotal,5_week_avrgPrecipTotal
1,2007-05-06,68,49,59.0, 4,30,46,6, 0,0442,1855, ,0,M,0.0,0.0,29.57,30.29,14.4,11,15.0,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.0016666666666666668,0.0016666666666666668
2,2007-05-06,68,52,60.0,M,30,46,5, 0,-,-, ,M,M,M,0.0,29.62,30.28,13.8,10,14.5,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0008333333333333334,0.0008333333333333334
1,2007-05-07,83,47,65.0,10,41,54,0, 0,0441,1856,RA,0,M,0.0,0.005,29.38,30.12,8.6,18,10.5,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.002142857142857143,0.002142857142857143
2,2007-05-07,84,50,67.0,M,39,53,0, 2,-,-, ,M,M,M,0.0,29.44,30.12,8.5,17,9.9,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0007142857142857143,0.0007142857142857143
1,2007-05-08,82,54,68.0,12,58,62,0, 3,0439,1857,BR,0,M,0.0,0.0,29.29,30.03,2.7,11,5.8,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.001875,0.001875
2,2007-05-08,80,60,70.0,M,57,63,0, 5,-,-,HZ,M,M,M,0.005,29.36,30.02,2.5,8,5.4,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.00125,0.00125
1,2007-05-09,77,61,69.0,13,59,63,0, 4,0438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.016111111111111114,0.016111111111111114
2,2007-05-09,76,63,70.0,M,60,63,0, 5,-,-,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.003333333333333333,0.003333333333333333
1,2007-05-10,84,56,70.0,14,52,60,0, 5,0437,1859,BR,0,M,0.0,0.0,29.20,29.92,0.7,17,4.1,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.014500000000000002,0.014500000000000002
2,2007-05-10,83,59,71.0,M,52,61,0, 6,-,-,BR HZ,M,M,M,0.0,29.26,29.91,2.0,9,3.9,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.003,0.003
1,2007-05-11,70,51,61.0, 4,42,51,4, 0,0436,1860, ,0,M,0.0,0.0,29.33,30.04,11.3,3,12.9,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.013181818181818183,0.013181818181818183
2,2007-05-11,73,49,61.0,M,44,51,4, 0,-,-, ,M,M,M,0.0,29.39,30.03,11.7,36,12.8,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.002727272727272727,0.002727272727272727
1,2007-05-12,64,46,55.0,-2,36,46,10, 0,0435,1901, ,0,M,0.0,0.0,29.49,30.20,12.4,3,12.9,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.012083333333333335,0.012083333333333335
2,2007-05-12,65,47,56.0,M,37,46,9, 0,-,-, ,M,M,M,0.0,29.54,30.19,12.7,1,13.0,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.0025,0.0025
1,2007-05-13,69,43,56.0,-2,33,46,9, 0,0434,1902, ,0,M,0.0,0.0,29.49,30.24,6.6,14,8.1,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.011153846153846155,0.011153846153846155
2,2007-05-13,69,44,57.0,M,32,46,8, 0,-,-, ,M,M,M,0.0,29.55,30.24,6.4,11,7.6,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.0023076923076923075,0.0023076923076923075
1,2007-05-14,90,56,73.0,15,47,59,0, 8,0433,1903, ,0,M,0.0,0.0,29.23,29.97,16.9,21,17.3,2007,64.57142857142857,0.018571428571428572,0.0,7.028571428571425,0.010357142857142858,0.010357142857142858
2,2007-05-14,90,54,72.0,M,45,58,0, 7,-,-, ,M,M,M,0.0,29.31,29.98,14.1,21,14.6,2007,65.28571428571429,0.0035714285714285718,0.0,6.3142857142857025,0.002142857142857143,0.002142857142857143
1,2007-05-15,80,57,69.0,11,56,61,0, 4,0432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.035,0.035
2,2007-05-15,82,56,69.0,M,56,61,0, 4,-,-,TSRA RA BR,M,M,M,0.6,29.19,29.83,8.1,25,10.8,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.042,0.042
1,2007-05-16,66,44,55.0,-4,43,48,10, 0,0431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.0415625,0.0415625
2,2007-05-16,64,45,55.0,M,42,47,10, 0,-,-,RA BR,M,M,M,0.07,29.39,30.03,8.0,36,11.8,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.04375,0.04375
1,2007-05-17,62,43,53.0,-6,32,43,12, 0,0430,1906, ,0,M,0.0,0.0,29.55,30.27,10.5,3,11.3,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.039117647058823535,0.039117647058823535
2,2007-05-17,61,44,53.0,M,32,43,12, 0,-,-, ,M,M,M,0.0,29.62,30.27,11.7,1,12.2,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.041176470588235294,0.041176470588235294
1,2007-05-18,71,42,57.0,-3,30,46,8, 0,0429,1907, ,0,M,0.0,0.0,29.53,30.25,5.4,25,7.5,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.036944444444444446,0.036944444444444446
2,2007-05-18,70,43,57.0,M,31,47,8, 0,-,-, ,M,M,M,0.0,29.60,30.26,3.4,22,5.5,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.03888888888888889,0.03888888888888889
1,2007-05-19,80,56,68.0, 8,39,53,0, 3,0428,1908, ,0,M,0.0,0.0,29.34,30.08,11.1,24,11.4,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.035,0.035
2,2007-05-19,80,56,68.0,M,37,53,0, 3,-,-, ,M,M,M,0.0,29.41,30.08,11.1,23,11.4,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.03684210526315789,0.03684210526315789
1,2007-05-20,69,43,56.0,-5,40,44,9, 0,0427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.036750000000000005,0.036750000000000005
2,2007-05-20,69,44,57.0,M,41,45,8, 0,-,-,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.040499999999999994,0.040499999999999994
1,2007-05-21,80,44,62.0, 1,50,56,3, 0,0426,1910, ,0,M,0.0,0.0,29.33,30.06,6.3,11,8.2,2007,60.0,0.0842857142857143,0.0,11.599999999999994,0.035,0.035
2,2007-05-21,79,46,63.0,M,50,57,2, 0,-,-, ,M,M,M,0.0,29.39,30.05,6.3,10,7.8,2007,60.285714285714285,0.11142857142857142,0.0,11.31428571428571,0.03857142857142857,0.03857142857142857
1,2007-05-22,87,55,71.0,10,46,58,0, 6,0425,1911, ,0,M,0.0,0.0,29.34,30.06,10.0,18,10.2,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.035,0.033409090909090916
2,2007-05-22,87,60,74.0,M,44,58,0, 9,-,-, ,M,M,M,0.0,29.41,30.05,10.1,16,10.6,2007,69.0,0.065,0.0,2.5999999999999943,0.03857142857142857,0.03681818181818181
1,2007-05-23,89,60,75.0,14,49,61,0,10,0425,1912, ,0,M,0.0,0.0,29.39,30.10,11.4,19,11.8,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.035,0.03195652173913044
2,2007-05-23,89,66,78.0,M,48,61,0,13,-,-, ,M,M,M,0.0,29.47,30.10,10.9,18,11.2,2007,69.0,0.065,0.0,2.5999999999999943,0.03857142857142857,0.035217391304347825
1,2007-05-24,88,63,76.0,14,54,63,0,11,0424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.03595238095238096,0.03145833333333334
2,2007-05-24,88,66,77.0,M,53,63,0,12,-,-,RA HZ,M,M,M,0.005,29.47,30.10,13.8,20,15.2,2007,69.0,0.065,0.0,2.5999999999999943,0.03880952380952381,0.03395833333333333
1,2007-05-25,70,56,63.0, 1,44,53,2, 0,0423,1914, ,0,M,0.0,0.005,29.51,30.24,4.9,5,8.8,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.03595238095238096,0.030400000000000003
2,2007-05-25,66,57,62.0,M,46,53,3, 0,-,-,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2,2007,69.0,0.065,0.0,2.5999999999999943,0.04309523809523809,0.036199999999999996
1,2007-05-26,65,49,57.0,-5,55,56,8, 0,0422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.08380952380952382,0.06807692307692308
2,2007-05-26,70,50,60.0,M,55,57,5, 0,-,-,TSRA RA BR,M,M,M,0.28,29.42,30.10,2.5,15,7.8,2007,69.0,0.065,0.0,2.5999999999999943,0.0561904761904762,0.04557692307692308
1,2007-05-27,75,57,66.0, 4,47,56,0, 1,0422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.08571428571428573,0.06703703703703703
2,2007-05-27,75,59,67.0,M,49,57,0, 2,-,-,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2,2007,69.0,0.065,0.0,2.5999999999999943,0.06000000000000001,0.04685185185185186
1,2007-05-28,79,50,65.0, 2,47,56,0, 0,0421,1916,RA,0,M,0.0,0.005,29.43,30.15,4.8,10,5.3,2007,67.57142857142857,0.15428571428571428,0.0,4.028571428571425,0.08571428571428573,0.06482142857142857
2,2007-05-28,76,54,65.0,M,49,57,0, 0,-,-, ,M,M,M,0.0,29.49,30.14,4.7,8,5.2,2007,69.0,0.065,0.0,2.5999999999999943,0.06000000000000001,0.045178571428571436
1,2007-05-29,88,60,74.0,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.08571428571428573,0.06258620689655173
2,2007-05-29,88,65,77.0,M,59,66,0,12,-,-,BR HZ,M,M,M,0.0,29.44,30.09,5.8,16,7.4,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.05976190476190478,0.04362068965517242
1,2007-05-30,87,66,77.0,13,58,65,0,12,0420,1918,HZ,0,M,0.0,0.0,29.31,30.04,10.3,19,10.6,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.07952380952380954,0.0605
2,2007-05-30,89,70,80.0,M,57,66,0,15,-,-,HZ,M,M,M,0.0,29.38,30.03,9.7,17,10.1,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.058809523809523825,0.04216666666666667
1,2007-05-31,78,65,72.0, 8,61,65,0, 7,0420,1919,RA HZ,0,M,0.0,0.01,29.28,30.00,9.3,19,9.9,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.08000000000000002,0.05887096774193548
2,2007-05-31,80,68,74.0,M,61,66,0, 9,-,-,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.08404761904761907,0.057903225806451616
1,2007-06-01,85,62,74.0,10,63,66,0, 9,0419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.08904761904761907,0.06296875
2,2007-06-01,86,67,77.0,M,63,67,0,12,-,-,TSRA BR HZ,M,M,M,0.21,29.25,29.90,4.7,16,5.8,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.09404761904761906,0.06265625000000001
1,2007-06-02,81,65,73.0, 9,63,67,0, 8,0419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.09095238095238097,0.06227272727272728
2,2007-06-02,81,68,75.0,M,62,67,0,10,-,-,RA BR,M,M,M,0.005,29.10,29.76,7.5,21,8.2,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.09428571428571429,0.06090909090909091
1,2007-06-03,78,62,70.0, 6,60,63,0, 5,0418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.09142857142857144,0.060735294117647054
2,2007-06-03,77,64,71.0,M,60,64,0, 6,-,-,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.10952380952380954,0.06852941176470588
1,2007-06-04,71,58,65.0, 1,58,60,0, 0,0418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7,2007,72.14285714285714,0.09142857142857143,0.5428571428571445,0.0,0.11000000000000003,0.07014285714285715
2,2007-06-04,72,56,64.0,M,57,60,1, 0,-,-,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1,2007,74.0,0.19642857142857142,2.4000000000000057,0.0,0.1242857142857143,0.07542857142857143
1,2007-06-05,64,47,56.0,-9,48,51,9, 0,0417,1923,RA BR,0,M,0.0,0.42,29.10,29.79,5.2,5,7.6,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.11190476190476192,0.08214285714285714
2,2007-06-05,63,51,57.0,M,47,52,8, 0,-,-,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10857142857142858,0.08314285714285714
1,2007-06-06,71,44,58.0,-8,48,55,7, 0,0417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10571428571428572,0.08242857142857142
2,2007-06-06,73,48,61.0,M,47,55,4, 0,-,-,RA,M,M,M,0.005,29.13,29.82,9.6,15,10.6,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10547619047619049,0.08328571428571428
1,2007-06-07,91,71,81.0,15,62,69,0,16,0417,1924, ,0,M,0.0,0.0,28.84,29.55,22.7,20,23.1,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10571428571428572,0.08242857142857142
2,2007-06-07,92,71,82.0,M,61,68,0,17,-,-, ,M,M,M,0.0,28.91,29.55,20.3,19,20.7,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10547619047619049,0.08328571428571428
1,2007-06-08,81,57,69.0, 3,53,61,0, 4,0417,1925, ,0,M,0.0,0.0,29.18,29.85,10.9,28,13.8,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10571428571428572,0.08228571428571428
2,2007-06-08,81,63,72.0,M,54,62,0, 7,-,-, ,M,M,M,0.0,29.24,29.83,9.3,26,12.4,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10547619047619049,0.08328571428571428
1,2007-06-09,79,52,66.0, 0,47,57,0, 1,0416,1925, ,0,M,0.0,0.0,29.36,30.07,0.3,33,5.0,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10571428571428572,0.08214285714285714
2,2007-06-09,79,57,68.0,M,49,58,0, 3,-,-, ,M,M,M,0.0,29.42,30.05,2.4,19,4.7,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10547619047619049,0.08314285714285714
1,2007-06-10,81,55,68.0, 1,51,59,0, 3,0416,1926, ,0,M,0.0,0.0,29.34,30.05,4.8,17,5.6,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10238095238095239,0.08214285714285714
2,2007-06-10,81,61,71.0,M,50,60,0, 6,-,-, ,M,M,M,0.0,29.39,30.04,4.6,16,5.8,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10023809523809527,0.08314285714285714
1,2007-06-11,86,58,72.0, 5,52,61,0, 7,0416,1926, ,0,M,0.0,0.0,29.41,30.11,4.9,11,6.9,2007,67.14285714285714,0.06142857142857143,0.0,4.4571428571428555,0.10238095238095239,0.082
2,2007-06-11,85,65,75.0,M,51,61,0,10,-,-, ,M,M,M,0.0,29.47,30.09,6.6,9,8.4,2007,69.42857142857143,0.03928571428571429,0.0,2.1714285714285637,0.10023809523809527,0.08314285714285714
1,2007-06-12,83,62,73.0, 5,50,60,0, 8,0416,1927, ,0,M,0.0,0.0,29.44,30.16,8.3,5,8.8,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.10238095238095239,0.082
2,2007-06-12,82,66,74.0,M,51,61,0, 9,-,-, ,M,M,M,0.0,29.49,30.14,9.4,5,10.0,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.10023809523809527,0.083
1,2007-06-13,87,60,74.0, 6,53,62,0, 9,0416,1927, ,0,M,0.0,0.0,29.36,30.09,7.2,5,8.6,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.10238095238095239,0.07828571428571429
2,2007-06-13,86,68,77.0,M,53,62,0,12,-,-, ,M,M,M,0.0,M,M,7.0,5,M,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.10023809523809527,0.08242857142857143
1,2007-06-14,89,64,77.0, 9,55,64,0,12,0416,1928, ,0,M,0.0,0.0,29.30,30.02,5.6,5,6.8,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.10142857142857145,0.07828571428571429
2,2007-06-14,89,68,79.0,M,54,63,0,14,-,-, ,M,M,M,0.0,29.36,30.00,5.9,7,6.4,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.10000000000000002,0.08242857142857143
1,2007-06-15,91,63,77.0, 9,56,64,0,12,0416,1928, ,0,M,0.0,0.0,29.28,29.99,4.1,6,4.9,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.1011904761904762,0.07828571428571429
2,2007-06-15,89,67,78.0,M,56,65,0,13,-,-, ,M,M,M,0.0,29.34,29.97,3.8,9,4.1,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.09571428571428575,0.08242857142857143
1,2007-06-16,93,66,80.0,11,60,67,0,15,0416,1929,RA HZ,0,M,0.0,0.005,29.26,29.97,4.8,28,5.8,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.05333333333333335,0.07842857142857143
2,2007-06-16,92,68,80.0,M,61,68,0,15,-,-,HZ,M,M,M,0.005,29.33,29.96,2.1,22,6.1,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.08261904761904765,0.08257142857142857
1,2007-06-17,91,70,81.0,12,64,70,0,16,0416,1929,HZ,0,M,0.0,0.0,29.23,29.95,2.8,11,6.3,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.05142857142857144,0.07842857142857143
2,2007-06-17,91,71,81.0,M,65,70,0,16,-,-,HZ,M,M,M,0.16,29.28,29.93,4.0,11,6.1,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.08642857142857145,0.08714285714285715
1,2007-06-18,89,69,79.0, 9,65,70,0,14,0416,1929,TSRA RA HZ,0,M,0.0,0.28,29.12,29.84,14.0,20,15.1,2007,77.28571428571429,0.04071428571428572,5.6857142857142975,0.0,0.06452380952380954,0.08642857142857144
2,2007-06-18,89,73,81.0,M,65,70,0,16,-,-,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6,2007,78.57142857142857,0.02642857142857143,6.971428571428575,0.0,0.0873809523809524,0.08771428571428572
1,2007-06-19,80,65,73.0, 3,55,63,0, 8,0416,1930,RA,0,M,0.0,0.58,29.26,29.95,10.7,28,11.4,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.09214285714285717,0.09214285714285715
2,2007-06-19,81,65,73.0,M,55,63,0, 8,-,-,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.13166666666666668,0.09714285714285714
1,2007-06-20,84,61,73.0, 3,52,61,0, 8,0416,1930, ,0,M,0.0,0.0,29.39,30.10,7.8,27,8.8,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.09214285714285717,0.08814285714285715
2,2007-06-20,85,62,74.0,M,50,61,0, 9,-,-, ,M,M,M,0.0,29.46,30.09,5.9,28,7.7,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.13166666666666668,0.09514285714285714
1,2007-06-21,77,61,69.0,-1,51,60,0, 4,0416,1930,RA,0,M,0.0,0.01,29.36,30.08,3.5,3,10.7,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.09214285714285717,0.08842857142857144
2,2007-06-21,80,66,73.0,M,51,61,0, 8,-,-,RA,M,M,M,0.005,29.41,30.06,3.7,2,9.6,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.10666666666666667,0.09528571428571428
1,2007-06-22,76,61,69.0,-1,50,58,0, 4,0417,1931,RA,0,M,0.0,0.005,29.33,30.06,7.8,6,8.7,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.08333333333333336,0.08857142857142858
2,2007-06-22,75,62,69.0,M,49,58,0, 4,-,-,RA,M,M,M,0.005,29.39,30.05,6.5,7,8.1,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.09690476190476191,0.09542857142857142
1,2007-06-23,67,62,65.0,-5,58,61,0, 0,0417,1931,RA BR,0,M,0.0,0.05,29.23,29.96,7.6,12,9.0,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.08380952380952383,0.09
2,2007-06-23,68,61,65.0,M,60,62,0, 0,-,-,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.11285714285714286,0.10514285714285714
1,2007-06-24,77,63,70.0,-1,62,65,0, 5,0417,1931,BR HZ,0,M,0.0,0.0,29.26,29.97,7.0,9,8.0,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.08333333333333336,0.08800000000000001
2,2007-06-24,75,65,70.0,M,62,65,0, 5,-,-,BR HZ,M,M,M,0.0,29.33,29.96,5.6,10,6.0,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.09761904761904763,0.102
1,2007-06-25,89,65,77.0, 6,66,70,0,12,0417,1931,BR HZ,0,M,0.0,0.0,29.38,30.07,3.9,14,6.8,2007,70.85714285714286,0.09214285714285715,0.0,0.7428571428571331,0.06476190476190477,0.08800000000000001
2,2007-06-25,86,67,77.0,M,67,70,0,12,-,-,BR HZ,M,M,M,0.0,29.44,30.06,4.0,12,5.9,2007,71.57142857142857,0.18285714285714286,0.0,0.028571428571424917,0.08285714285714287,0.102
1,2007-06-26,92,70,81.0,10,69,72,0,16,0418,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1,2007,69.85714285714286,0.04428571428571428,0.0,1.7428571428571331,0.052380952380952396,0.09257142857142858
2,2007-06-26,91,73,82.0,M,69,72,0,17,-,-,BR HZ,M,M,M,0.005,29.45,30.09,7.3,21,8.1,2007,71.14285714285714,0.071,0.0,0.4571428571428555,0.07023809523809524,0.10214285714285713
1,2007-06-27,91,71,81.0,10,70,72,0,16,0418,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8,2007,69.85714285714286,0.04428571428571428,0.0,1.7428571428571331,0.05904761904761906,0.09685714285714286
2,2007-06-27,89,71,80.0,M,69,72,0,15,-,-,TSRA RA BR,M,M,M,0.35,29.36,30.00,7.9,24,8.5,2007,71.14285714285714,0.071,0.0,0.4571428571428555,0.08666666666666668,0.11214285714285714
1,2007-06-28,74,58,66.0,-5,55,60,0, 1,0419,1931, ,0,M,0.0,0.0,29.41,30.09,11.9,3,12.5,2007,69.85714285714286,0.04428571428571428,0.0,1.7428571428571331,0.05904761904761906,0.0962857142857143
2,2007-06-28,73,61,67.0,M,56,61,0, 2,-,-, ,M,M,M,,29.43,30.07,12.2,2,13.3,2007,71.14285714285714,0.071,0.0,0.4571428571428555,0.09100000000000001,0.11529411764705882
1,2007-06-29,70,56,63.0,-8,55,59,2, 0,0419,1931, ,0,M,0.0,0.0,29.41,30.13,7.6,2,8.3,2007,69.85714285714286,0.04428571428571428,0.0,1.7428571428571331,0.05904761904761906,0.09614285714285715
2,2007-06-29,71,56,64.0,M,56,60,1, 0,-,-, ,M,M,M,,29.47,30.11,7.4,2,8.2,2007,71.14285714285714,0.071,0.0,0.4571428571428555,0.09578947368421054,0.11606060606060606
